Input,Options,Expected,Output (raw),Predicted
"Q: Which is a rhyme of the word ""routine"", ""hurt"" or ""scene""? A:","['scene', 'hurt']",scene,"UTT_BOUNDARY q: which is a rhyme of the word ""routine"", ""hurt"" or ""scene""? a:UTT_BOUNDARY scene of the movie?", scene of the movie?
"Q: Which is a rhyme of the word ""wow"", ""announce"" or ""cow""? A:","['cow', 'announce']",cow,"UTT_BOUNDARY q: which is a rhyme of the word ""wow"", ""announce"" or ""cow""? a:UTT_BOUNDARY cowhide and a sheep", cowhide and a sheep
"Q: Which is a rhyme of the word ""begin"", ""pin"" or ""couple""? A:","['pin', 'couple']",pin,"UTT_BOUNDARY q: which is a rhyme of the word ""begin"", ""pin"" or ""couple""? a:UTT_BOUNDARY pineapple"", which"," pineapple"", which"
"Q: Which word rhymes with the word ""frog"", ""diet"" or ""jog""? A:","['jog', 'diet']",jog,"UTT_BOUNDARY q: which word rhymes with the word ""frog"", ""diet"" or ""jog""? a:UTT_BOUNDARY jog through the forest", jog through the forest
"Q: Of the words ""discover"" and ""cinema"", which one rhymes with ""recover""? A:","['discover', 'cinema']",discover,"UTT_BOUNDARY q: of the words ""discover"" and ""cinema"", which one rhymes with ""recover""? a:UTT_BOUNDARY discoveries in the area", discoveries in the area
"Q: Which is a rhyme of the word ""thick"", ""feel"" or ""sick""? A:","['sick', 'feel']",sick,"UTT_BOUNDARY q: which is a rhyme of the word ""thick"", ""feel"" or ""sick""? a:UTT_BOUNDARY sickly sickly pin", sickly sickly pin
"Q: Which is a rhyme of the word ""dancer"", ""cancer"" or ""television""? A:","['cancer', 'television']",cancer,"UTT_BOUNDARY q: which is a rhyme of the word ""dancer"", ""cancer"" or ""television""? a:UTT_BOUNDARY cancer? a:UTT_BOUNDARY", cancer? a:
"Q: Of the words ""nightclub"" and ""mess"", which one rhymes with ""stress""? A:","['mess', 'nightclub']",mess,"UTT_BOUNDARY q: of the words ""nightclub"" and ""mess"", which one rhymes with ""stress""? a:UTT_BOUNDARY mess with date""? a"," mess with date""? a"
"Q: Which word rhymes with the word ""mean"", ""clean"" or ""bracelet""? A:","['clean', 'bracelet']",clean,"UTT_BOUNDARY q: which word rhymes with the word ""mean"", ""clean"" or ""bracelet""? a:UTT_BOUNDARY cleaner for the word", cleaner for the word
"Q: Of the words ""pan"" and ""tell"", which one rhymes with ""plan""? A:","['pan', 'tell']",pan,"UTT_BOUNDARY q: of the words ""pan"" and ""tell"", which one rhymes with ""plan""? a:UTT_BOUNDARY panicked the word", panicked the word
"Q: Of the words ""stripe"" and ""dull"", which one rhymes with ""type""? A:","['stripe', 'dull']",stripe,"UTT_BOUNDARY q: of the words ""stripe"" and ""dull"", which one rhymes with ""type""? a:UTT_BOUNDARY stripe""? a:"," stripe""? a:"
"Q: Which word rhymes with the word ""truck"", ""luck"" or ""breakfast""? A:","['luck', 'breakfast']",luck,"UTT_BOUNDARY q: which word rhymes with the word ""truck"", ""luck"" or ""breakfast""? a:UTT_BOUNDARY luckless beer""? a"," luckless beer""? a"
"Q: Which word rhymes with the word ""exchange"", ""location"" or ""strange""? A:","['strange', 'location']",strange,"UTT_BOUNDARY q: which word rhymes with the word ""exchange"", ""location"" or ""strange""? a:UTT_BOUNDARY strangelove story""? a"," strangelove story""? a"
"Q: Which is a rhyme of the word ""beat"", ""eastern"" or ""defeat""? A:","['defeat', 'eastern']",defeat,"UTT_BOUNDARY q: which is a rhyme of the word ""beat"", ""eastern"" or ""defeat""? a:UTT_BOUNDARY defeat of the late""?"," defeat of the late""?"
"Q: Of the words ""description"" and ""cigarette"", which one rhymes with ""prescription""? A:","['description', 'cigarette']",description,"UTT_BOUNDARY q: of the words ""description"" and ""cigarette"", which one rhymes with ""prescription""? a:UTT_BOUNDARY description of the word """," description of the word """
"Q: Which word rhymes with the word ""ferry"", ""sex"" or ""very""? A:","['very', 'sex']",very,"UTT_BOUNDARY q: which word rhymes with the word ""ferry"", ""sex"" or ""very""? a:UTT_BOUNDARY very much the same"""," very much the same"""
"Q: Which is a rhyme of the word ""blank"", ""thank"" or ""dot""? A:","['thank', 'dot']",thank,"UTT_BOUNDARY q: which is a rhyme of the word ""blank"", ""thank"" or ""dot""? a:UTT_BOUNDARY thank you""? a:"," thank you""? a:"
"Q: Which word rhymes with the word ""thick"", ""trick"" or ""dead""? A:","['trick', 'dead']",trick,"UTT_BOUNDARY q: which word rhymes with the word ""thick"", ""trick"" or ""dead""? a:UTT_BOUNDARY trick to the team""?"," trick to the team""?"
"Q: Of the words ""possessive"" and ""main"", which one rhymes with ""rain""? A:","['main', 'possessive']",main,"UTT_BOUNDARY q: of the words ""possessive"" and ""main"", which one rhymes with ""rain""? a:UTT_BOUNDARY mainecutive""?"," mainecutive""?"
"Q: Of the words ""identification"" and ""connect"", which one rhymes with ""application""? A:","['identification', 'connect']",identification,"UTT_BOUNDARY q: of the words ""identification"" and ""connect"", which one rhymes with ""application""? a:UTT_BOUNDARY identification to the word", identification to the word
"Q: Which word rhymes with the word ""hold"", ""cry"" or ""fold""? A:","['fold', 'cry']",fold,"UTT_BOUNDARY q: which word rhymes with the word ""hold"", ""cry"" or ""fold""? a:UTT_BOUNDARY folder""? a:"," folder""? a:"
"Q: Which word rhymes with the word ""dish"", ""fish"" or ""blogger""? A:","['fish', 'blogger']",fish,"UTT_BOUNDARY q: which word rhymes with the word ""dish"", ""fish"" or ""blogger""? a:UTT_BOUNDARY fish from the fish to", fish from the fish to
"Q: Which word rhymes with the word ""morning"", ""warning"" or ""per""? A:","['warning', 'per']",warning,"UTT_BOUNDARY q: which word rhymes with the word ""morning"", ""warning"" or ""per""? a:UTT_BOUNDARY warning"", which word comes"," warning"", which word comes"
"Q: Of the words ""sick"" and ""coat"", which one rhymes with ""stick""? A:","['sick', 'coat']",sick,"UTT_BOUNDARY q: of the words ""sick"" and ""coat"", which one rhymes with ""stick""? a:UTT_BOUNDARY sickle""? a:"," sickle""? a:"
"Q: Which is a rhyme of the word ""pretty"", ""city"" or ""dangerous""? A:","['city', 'dangerous']",city,"UTT_BOUNDARY q: which is a rhyme of the word ""pretty"", ""city"" or ""dangerous""? a:UTT_BOUNDARY city in the area is", city in the area is
"Q: Of the words ""house"" and ""definitely"", which one rhymes with ""blouse""? A:","['house', 'definitely']",house,"UTT_BOUNDARY q: of the words ""house"" and ""definitely"", which one rhymes with ""blouse""? a:UTT_BOUNDARY housewife""? a"," housewife""? a"
"Q: Of the words ""pollution"" and ""trumpet"", which one rhymes with ""solution""? A:","['pollution', 'trumpet']",pollution,"UTT_BOUNDARY q: of the words ""pollution"" and ""trumpet"", which one rhymes with ""solution""? a:UTT_BOUNDARY pollution section? a:", pollution section? a:
"Q: Which is a rhyme of the word ""warning"", ""morning"" or ""nightmare""? A:","['morning', 'nightmare']",morning,"UTT_BOUNDARY q: which is a rhyme of the word ""warning"", ""morning"" or ""nightmare""? a:UTT_BOUNDARY morning"", which word comes"," morning"", which word comes"
"Q: Which word rhymes with the word ""lamp"", ""camp"" or ""newspaper""? A:","['camp', 'newspaper']",camp,"UTT_BOUNDARY q: which word rhymes with the word ""lamp"", ""camp"" or ""newspaper""? a:UTT_BOUNDARY campfiretrucks are", campfiretrucks are
"Q: Which is a rhyme of the word ""fare"", ""sing"" or ""square""? A:","['square', 'sing']",square,"UTT_BOUNDARY q: which is a rhyme of the word ""fare"", ""sing"" or ""square""? a:UTT_BOUNDARY square""? a:UTT_BOUNDARY"," square""? a:"
"Q: Which is a rhyme of the word ""child"", ""green"" or ""mild""? A:","['mild', 'green']",mild,"UTT_BOUNDARY q: which is a rhyme of the word ""child"", ""green"" or ""mild""? a:UTT_BOUNDARY mildred brownie"","," mildred brownie"","
"Q: Which is a rhyme of the word ""camp"", ""stamp"" or ""reader""? A:","['stamp', 'reader']",stamp,"UTT_BOUNDARY q: which is a rhyme of the word ""camp"", ""stamp"" or ""reader""? a:UTT_BOUNDARY stamp against the pad completely", stamp against the pad completely
"Q: Which word rhymes with the word ""join"", ""professional"" or ""coin""? A:","['coin', 'professional']",coin,"UTT_BOUNDARY q: which word rhymes with the word ""join"", ""professional"" or ""coin""? a:UTT_BOUNDARY coin""? a:UTT_BOUNDARY"," coin""? a:"
"Q: Of the words ""speech"" and ""purpose"", which one rhymes with ""each""? A:","['speech', 'purpose']",speech,"UTT_BOUNDARY q: of the words ""speech"" and ""purpose"", which one rhymes with ""each""? a:UTT_BOUNDARY speech ""diffic"," speech ""diffic"
"Q: Which word rhymes with the word ""hut"", ""cut"" or ""bookcase""? A:","['cut', 'bookcase']",cut,"UTT_BOUNDARY q: which word rhymes with the word ""hut"", ""cut"" or ""bookcase""? a:UTT_BOUNDARY cutlasses? a:", cutlasses? a:
