Input,Expected,Predicted
"Q: In the sentence ""John arranged for himself to get the prize"", which word immediately precedes the word ""the""? A:",get,prized for gettttingetete
"Q: In the sentence ""Sally believes that she is brilliant"", which word immediately precedes the word ""that""? A:",believes,"believes that she is""? a:"
"Q: In the sentence ""Sue knows the answer"", which word immediately precedes the word ""the""? A:",knows,knows the answer? a:
"Q: In the sentence ""John is eager to find a new home"", which word comes right before the word ""is""? A:",John,"new home""? a:"
"Q: Which word comes right before ""pleased"" in the sentence ""The news pleased the students""? A:",news,news pleased the students
"Q: In the sentence ""Over the fort fluttered a large flag"", which word immediately precedes the word ""a""? A:",fluttered,flag? a:
"Q: In the sentence ""I saw John on Sunday"", which word immediately precedes the word ""John""? A:",saw,saw john on sunday? a:
"Q: Which word comes right before ""of"" in the sentence ""A serious accident happened in front of them""? A:",front,serious accident? acciden
"Q: In the sentence ""Brown equipped Jones with a camera"", which word comes right before the word ""with""? A:",Jones,camera?
"Q: Which word comes right before ""to"" in the sentence ""John fed rice to the baby""? A:",rice,baby fed rice to the baby
"Q: Which word comes right before ""people"" in the sentence ""It annoys people that dogs bark""? A:",annoys,dogs bark? a:
"Q: In the sentence ""The old and new carts banged together"", which word comes right before the word ""carts""? A:",new,"carts banged together""? a"
"Q: In the sentence ""People from Tucson think very highly of themselves"", which word comes right before the word ""of""? A:",highly,tucson think? a:
"Q: In the sentence ""He continued writing poems"", which word immediately precedes the word ""poems""? A:",writing,continued writing poems? 
"Q: Which word comes right before ""was"" in the sentence ""Calvin was eating""? A:",Calvin,eating? a:
"Q: In the sentence ""John knows whether she will come back"", which word comes right before the word ""back""? A:",come,knows whether she wil com
"Q: In the sentence ""The bandits murdered innocent victims"", which word immediately precedes the word ""innocent""? A:",murdered,bandits murderedimurdered
"Q: In the sentence ""Bill sent Tom a package"", which word comes right before the word ""Tom""? A:",sent,"sentence ""bill sent a pac"
"Q: Which word comes right before ""lawyer"" in the sentence ""Almost every lawyer could answer that question""? A:",every,could answer that questio
"Q: Which word comes right before ""to"" in the sentence ""John promised Bill to leave""? A:",Bill,promised bill to leave? a
"Q: In the sentence ""Martha carved the baby a toy out of wood"", which word comes right before the word ""carved""? A:",Martha,carved the baby outoutout
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", which word comes right before the word ""to""? A:",obvious,"misha"", whicha, whicha, w"
"Q: In the sentence ""The farmer loaded the cart with apples"", which word comes right before the word ""with""? A:",cart,"cart with apples""? a:"
"Q: Which word comes right before ""this"" in the sentence ""A pilot must be flying this plane""? A:",flying,plane?
"Q: In the sentence ""This violin is difficult to play sonatas on"", which word immediately precedes the word ""is""? A:",violin,violin is difficult to o 
"Q: Which word comes right before ""by"" in the sentence ""Mary was visited by Bill""? A:",visited,"visited by bill""? a:"
"Q: Which word comes right before ""on"" in the sentence ""It is easy to play sonatas on this violin""? A:",sonatas,violin? a:
"Q: In the sentence ""Bill dried the clothes"", which word immediately precedes the word ""the""? A:",dried,clothes?
"Q: In the sentence ""Susan rode a bright blue train from New York"", which word comes right before the word ""blue""? A:",bright,bright blue train from tr
"Q: In the sentence ""Martina is deathly afraid of spiders"", which word immediately precedes the word ""is""? A:",Martina,afraid of spiders? a:
"Q: In the sentence ""Carla was shoveling the walk"", which word immediately precedes the word ""was""? A:",Carla,walking the walking the w
"Q: In the sentence ""Mary is taller than six feet"", which word immediately precedes the word ""is""? A:",Mary,feet? a:
"Q: In the sentence ""I saw John on Sunday"", which word comes right before the word ""on""? A:",John,saw john on sunday? a:
"Q: Which word comes right before ""secretary"" in the sentence ""The president declared Smith press secretary""? A:",press,"press secretary""? a:"
"Q: In the sentence ""Pat is the captain of the team"", which word comes right before the word ""is""? A:",Pat,"captain of the team""? a:"
"Q: In the sentence ""The students felt comfortable in the class"", which word comes right before the word ""comfortable""? A:",felt,class classs ifortable? a
"Q: Which word comes right before ""vases"" in the sentence ""Crystal vases break easily""? A:",Crystal,"vases break easily""? a:"
"Q: In the sentence ""I broke the twig and the branch apart"", which word comes right before the word ""apart""? A:",branch,branch apart? a:
"Q: In the sentence ""A chair was broken"", which word comes right before the word ""was""? A:",chair,chair was broken? a:
"Q: In the sentence ""A chair was broken"", which word immediately precedes the word ""was""? A:",chair,broken?
"Q: In the sentence ""I ate deep fried muffins"", which word comes right before the word ""fried""? A:",deep,ate deep fried muffins? a
"Q: In the sentence ""There appears to be a problem with this solution"", which word comes right before the word ""to""? A:",appears,"problem within""? a:"
"Q: In the sentence ""Jack sprayed the wall with paint"", which word comes right before the word ""the""? A:",sprayed,wall wall wall? a:
"Q: In the sentence ""I want to go"", which word comes right before the word ""to""? A:",want,want to go? a:
"Q: In the sentence ""A large dog chased a small cat"", which word immediately precedes the word ""cat""? A:",small,cat? a:
"Q: In the sentence ""John asks in which box he put the book"", which word immediately precedes the word ""in""? A:",asks,box he put the book immmm
"Q: Which word comes right before ""to"" in the sentence ""She tried to leave""? A:",tried,leave? a:
"Q: In the sentence ""Much of that theory is unfounded"", which word comes right before the word ""is""? A:",theory,unfoundededededededededed
"Q: Which word comes right before ""lunch"" in the sentence ""The storm arrived while we ate lunch""? A:",ate,arrived while we ate lunc
"Q: In the sentence ""Mary is more than six feet tall"", which word immediately precedes the word ""feet""? A:",six,feet? a:
"Q: In the sentence ""John told us which book we should review"", which word immediately precedes the word ""us""? A:",told,should review? a:
"Q: Which word comes right before ""talked"" in the sentence ""Ellen talked with Helen""? A:",Ellen,talked with helen in the 
"Q: In the sentence ""Nora sent the book from Paris to London"", which word comes right before the word ""the""? A:",sent,book? a:
"Q: Which word comes right before ""promised"" in the sentence ""John promised us to be gentle""? A:",John,"promised us to be gentle"""
"Q: In the sentence ""It is likely that Bill likes chocolate"", which word comes right before the word ""chocolate""? A:",likes,"likely that likely""? a:"
"Q: Which word comes right before ""at"" in the sentence ""We ate at a really fancy restaurant""? A:",ate,restaurant?
"Q: In the sentence ""That picture of Susan offended her"", which word immediately precedes the word ""her""? A:",offended,picture of susan offended
"Q: In the sentence ""Wickham eloped with Lydia"", which word comes right before the word ""with""? A:",eloped,lydia? a:
"Q: Which word comes right before ""Mary"" in the sentence ""John has not kissed Mary""? A:",kissed,"kissed mary""? a:"
"Q: In the sentence ""It is nice to go abroad"", which word immediately precedes the word ""to""? A:",nice,nicely? a:
"Q: In the sentence ""Gary and Kevin ran themselves into exhaustion"", which word comes right before the word ""ran""? A:",Kevin,gary and kevin ran? a:
"Q: In the sentence ""The witch vanished into the forest"", which word comes right before the word ""into""? A:",vanished,vanished into the forest?
"Q: In the sentence ""I am fond of circus performers"", which word comes right before the word ""performers""? A:",circus,circus performers? a:
"Q: In the sentence ""We made enough puddings to last for days"", which word comes right before the word ""puddings""? A:",enough,puddings toseders? a:
"Q: In the sentence ""Amanda carried the package from Boston to New York"", which word comes right before the word ""to""? A:",Boston,carried the packageeeeeee
"Q: In the sentence ""The secretary transcribed the speech into the record"", which word immediately precedes the word ""transcribed""? A:",secretary,transcribed? r? a:
"Q: In the sentence ""Ellen talked with Helen"", which word immediately precedes the word ""with""? A:",talked,talked with helen talked 
"Q: In the sentence ""John tried to please Stephen"", which word immediately precedes the word ""to""? A:",tried,"tried to please stephen""?"
"Q: In the sentence ""Bill visited Mary"", which word immediately precedes the word ""visited""? A:",Bill,mary visited mary visited
"Q: In the sentence ""John is eager to please Kim"", which word comes right before the word ""Kim""? A:",please,"please kim""? a:"
"Q: In the sentence ""The tourists will go to the park"", which word immediately precedes the word ""will""? A:",tourists,parker will go to the par
"Q: Which word comes right before ""flowered"" in the sentence ""The garden flowered with roses""? A:",garden,flowered with roses? a:
"Q: Which word comes right before ""died"" in the sentence ""Captain Oates died in order to save his comrades""? A:",Oates,captain oates died in ord
