Input,Options,Expected,Output (raw),Predicted
"Q: In an alphabetical order, which word comes first, ""blanket"" or ""diary""? A:","['blanket', 'diary']",blanket,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""blanket"" or ""diary""? a:UTT_BOUNDARY blanket? a:UTT_BOUNDARY", blanket? a:
"Q: In an alphabetical order, which word comes first, ""back"" or ""everything""? A:","['back', 'everything']",back,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""back"" or ""everything""? a:UTT_BOUNDARY backpacking the air", backpacking the air
"Q: In an alphabetical order, which word comes first, ""guest"" or ""dressed""? A:","['guest', 'dressed']",dressed,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""guest"" or ""dressed""? a:UTT_BOUNDARY dressed in a blanket.", dressed in a blanket.
"Q: In an alphabetical order, which of the words ""policewoman"" and ""chef"" comes first? A:","['policewoman', 'chef']",chef,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""policewoman"" and ""chef"" comes first? a:UTT_BOUNDARY chef, a friend of"," chef, a friend of"
"Q: Of the words ""sandwich"" and ""various"", which word comes first alphabetically? A:","['sandwich', 'various']",sandwich,"UTT_BOUNDARY q: of the words ""sandwich"" and ""various"", which word comes first alphabetically? a:UTT_BOUNDARY sandwich machine. a:", sandwich machine. a:
"Q: In an alphabetical order, which word comes first, ""keyboard"" or ""health""? A:","['keyboard', 'health']",health,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""keyboard"" or ""health""? a:UTT_BOUNDARY health and safety. a", health and safety. a
"Q: In an alphabetical order, which word comes first, ""jam"" or ""granddaughter""? A:","['jam', 'granddaughter']",granddaughter,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""jam"" or ""granddaughter""? a:UTT_BOUNDARY grandparents were not", grandparents were not
"Q: Of the words ""make"" and ""nature"", which word comes first alphabetically? A:","['make', 'nature']",make,"UTT_BOUNDARY q: of the words ""make"" and ""nature"", which word comes first alphabetically? a:UTT_BOUNDARY earner in a circle", earner in a circle
"Q: In an alphabetical order, which of the words ""bat"" and ""highway"" comes first? A:","['bat', 'highway']",bat,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""bat"" and ""highway"" comes first? a:UTT_BOUNDARY low level of air is", low level of air is
"Q: Of the words ""tour"" and ""across"", which word comes first alphabetically? A:","['tour', 'across']",across,"UTT_BOUNDARY q: of the words ""tour"" and ""across"", which word comes first alphabetically? a:UTT_BOUNDARY across the channel from the", across the channel from the
"Q: Of the words ""number"" and ""guide"", which word comes first alphabetically? A:","['number', 'guide']",guide,"UTT_BOUNDARY q: of the words ""number"" and ""guide"", which word comes first alphabetically? a:UTT_BOUNDARY guidebook of the words", guidebook of the words
"Q: In an alphabetical order, which of the words ""call"" and ""computer"" comes first? A:","['call', 'computer']",call,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""call"" and ""computer"" comes first? a:UTT_BOUNDARY caller is a person", caller is a person
"Q: In an alphabetical order, which of the words ""coat"" and ""somebody"" comes first? A:","['coat', 'somebody']",coat,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""coat"" and ""somebody"" comes first? a:UTT_BOUNDARY coat of arms. a", coat of arms. a
"Q: In an alphabetical order, which word comes first, ""size"" or ""rap""? A:","['size', 'rap']",rap,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""size"" or ""rap""? a:UTT_BOUNDARY cryotherapy is", cryotherapy is
"Q: Of the words ""paper"" and ""different"", which word comes first alphabetically? A:","['paper', 'different']",different,"UTT_BOUNDARY q: of the words ""paper"" and ""different"", which word comes first alphabetically? a:UTT_BOUNDARY different from each other.", different from each other.
"Q: In an alphabetical order, which of the words ""nearly"" and ""sink"" comes first? A:","['nearly', 'sink']",nearly,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""nearly"" and ""sink"" comes first? a:UTT_BOUNDARY nearly every page in the", nearly every page in the
"Q: In an alphabetical order, which word comes first, ""advertisement"" or ""policewoman""? A:","['advertisement', 'policewoman']",advertisement,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""advertisement"" or ""policewoman""? a:UTT_BOUNDARYinetist in the united",inetist in the united
"Q: In an alphabetical order, which of the words ""why"" and ""race"" comes first? A:","['why', 'race']",race,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""why"" and ""race"" comes first? a:UTT_BOUNDARY race, and a stage"," race, and a stage"
"Q: Of the words ""more"" and ""pet"", which word comes first alphabetically? A:","['more', 'pet']",more,"UTT_BOUNDARY q: of the words ""more"" and ""pet"", which word comes first alphabetically? a:UTT_BOUNDARY more fun. a:", more fun. a:
"Q: Of the words ""insect"" and ""gate"", which word comes first alphabetically? A:","['insect', 'gate']",gate,"UTT_BOUNDARY q: of the words ""insect"" and ""gate"", which word comes first alphabetically? a:UTT_BOUNDARY gateway""? a:"," gateway""? a:"
"Q: In an alphabetical order, which of the words ""oh"" and ""in"" comes first? A:","['oh', 'in']",in,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""oh"" and ""in"" comes first? a:UTT_BOUNDARY from the words ""s"," from the words ""s"
"Q: In an alphabetical order, which of the words ""hungry"" and ""low"" comes first? A:","['hungry', 'low']",hungry,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""hungry"" and ""low"" comes first? a:UTT_BOUNDARY strong, strong, and"," strong, strong, and"
"Q: In an alphabetical order, which of the words ""expensive"" and ""yes"" comes first? A:","['expensive', 'yes']",expensive,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""expensive"" and ""yes"" comes first? a:UTT_BOUNDARY expensive smoking competition is a", expensive smoking competition is a
"Q: Of the words ""a"" and ""comparative"", which word comes first alphabetically? A:","['a', 'comparative']",a,"UTT_BOUNDARY q: of the words ""a"" and ""comparative"", which word comes first alphabetically? a:UTT_BOUNDARY comparative pronouns of", comparative pronouns of
"Q: In an alphabetical order, which word comes first, ""woman"" or ""try""? A:","['woman', 'try']",try,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""woman"" or ""try""? a:UTT_BOUNDARY try to get a job", try to get a job
