Input,Options,Expected,Output (raw),Predicted
"Q: In an alphabetical order, which word comes first, ""tall"" or ""stay""? A:","['tall', 'stay']",stay,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""tall"" or ""stay""? a:UTT_BOUNDARY stay there. a:", stay there. a:
"Q: In an alphabetical order, which word comes first, ""wood"" or ""just""? A:","['wood', 'just']",just,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""wood"" or ""just""? a:UTT_BOUNDARY just a:UTT_BOUNDARY", just a:
"Q: In an alphabetical order, which word comes first, ""various"" or ""tomato""? A:","['various', 'tomato']",tomato,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""various"" or ""tomato""? a:UTT_BOUNDARY flight"" comes first?"," flight"" comes first?"
"Q: In an alphabetical order, which of the words ""arm"" and ""tell"" comes first? A:","['arm', 'tell']",arm,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""arm"" and ""tell"" comes first? a:UTT_BOUNDARY armchair, which word"," armchair, which word"
"Q: Of the words ""they"" and ""horrible"", which word comes first alphabetically? A:","['they', 'horrible']",horrible,"UTT_BOUNDARY q: of the words ""they"" and ""horrible"", which word comes first alphabetically? a:UTT_BOUNDARY horrible, awful, awful"," horrible, awful, awful"
"Q: In an alphabetical order, which word comes first, ""kitchen"" or ""minus""? A:","['kitchen', 'minus']",kitchen,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""kitchen"" or ""minus""? a:UTT_BOUNDARY kitchen? a bed for", kitchen? a bed for
"Q: In an alphabetical order, which word comes first, ""these"" or ""understand""? A:","['these', 'understand']",these,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""these"" or ""understand""? a:UTT_BOUNDARY around the block. a", around the block. a
"Q: Of the words ""tire"" and ""yesterday"", which word comes first alphabetically? A:","['tire', 'yesterday']",tire,"UTT_BOUNDARY q: of the words ""tire"" and ""yesterday"", which word comes first alphabetically? a:UTT_BOUNDARY tire story about how the", tire story about how the
"Q: In an alphabetical order, which of the words ""of"" and ""grandparent"" comes first? A:","['of', 'grandparent']",grandparent,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""of"" and ""grandparent"" comes first? a:UTT_BOUNDARY grandparents"" comes"," grandparents"" comes"
"Q: Of the words ""wall"" and ""help"", which word comes first alphabetically? A:","['wall', 'help']",help,"UTT_BOUNDARY q: of the words ""wall"" and ""help"", which word comes first alphabetically? a:UTT_BOUNDARY help. a:UTT_BOUNDARY", help. a:
"Q: Of the words ""actor"" and ""jeans"", which word comes first alphabetically? A:","['actor', 'jeans']",actor,"UTT_BOUNDARY q: of the words ""actor"" and ""jeans"", which word comes first alphabetically? a:UTT_BOUNDARY jeans. a:UTT_BOUNDARY", jeans. a:
