Input,Options,Expected,Output (raw),Predicted
"Q: Of the numbers 701 and 438, which is bigger? A:","['701', '438']",701,"UTT_BOUNDARY q: of the numbers 701 and 438, which is bigger? a:UTT_BOUNDARY 701 and 438", 701 and 438
"Q: Of the numbers 486 and 491, which is bigger? A:","['486', '491']",491,"UTT_BOUNDARY q: of the numbers 486 and 491, which is bigger? a:UTT_BOUNDARY 492 is bigger?", 492 is bigger?
"Q: Of the numbers 632 and 260, which is bigger? A:","['632', '260']",632,"UTT_BOUNDARY q: of the numbers 632 and 260, which is bigger? a:UTT_BOUNDARY 632 is bigger?", 632 is bigger?
"Q: Which number is bigger, 787 or 50? A:","['787', '50']",787,"UTT_BOUNDARY q: which number is bigger, 787 or 50? a:UTT_BOUNDARY 786 census area.", 786 census area.
"From the numbers 966 and 407, write the bigger number: ","['966', '407']",966,"UTT_BOUNDARY from the numbers 966 and 407, write the bigger number:UTT_BOUNDARY 966, which is"," 966, which is"
"Q: Of the numbers 808 and 839, which is bigger? A:","['808', '839']",839,"UTT_BOUNDARY q: of the numbers 808 and 839, which is bigger? a:UTT_BOUNDARY 839. it is", 839. it is
"Q: Of the numbers 496 and 558, which is bigger? A:","['496', '558']",558,"UTT_BOUNDARY q: of the numbers 496 and 558, which is bigger? a:UTT_BOUNDARY 888 and 498", 888 and 498
"From the numbers 683 and 954, write the bigger number: ","['683', '954']",954,"UTT_BOUNDARY from the numbers 683 and 954, write the bigger number:UTT_BOUNDARY 953 and 269", 953 and 269
"Q: Which number is bigger, 743 or 323? A:","['743', '323']",743,"UTT_BOUNDARY q: which number is bigger, 743 or 323? a:UTT_BOUNDARY 736? a:", 736? a:
"From the numbers 719 and 480, write the bigger number: ","['719', '480']",719,"UTT_BOUNDARY from the numbers 719 and 480, write the bigger number:UTT_BOUNDARY 719, which is"," 719, which is"
"From the numbers 751 and 410, write the bigger number: ","['751', '410']",751,"UTT_BOUNDARY from the numbers 751 and 410, write the bigger number:UTT_BOUNDARY 759 and 394", 759 and 394
"Q: Which number is bigger, 555 or 660? A:","['555', '660']",660,"UTT_BOUNDARY q: which number is bigger, 555 or 660? a:UTT_BOUNDARY 6605 or 5", 6605 or 5
"Q: Which number is bigger, 167 or 325? A:","['167', '325']",325,"UTT_BOUNDARY q: which number is bigger, 167 or 325? a:UTT_BOUNDARY 32877?", 32877?
"Q: Of the numbers 717 and 614, which is bigger? A:","['717', '614']",717,"UTT_BOUNDARY q: of the numbers 717 and 614, which is bigger? a:UTT_BOUNDARY 717 and 700", 717 and 700
"From the numbers 92 and 617, write the bigger number: ","['92', '617']",617,"UTT_BOUNDARY from the numbers 92 and 617, write the bigger number:UTT_BOUNDARY 6179 and 7", 6179 and 7
"Q: Which number is bigger, 327 or 151? A:","['327', '151']",327,"UTT_BOUNDARY q: which number is bigger, 327 or 151? a:UTT_BOUNDARY 328, which is"," 328, which is"
"Q: Of the numbers 116 and 570, which is bigger? A:","['116', '570']",570,"UTT_BOUNDARY q: of the numbers 116 and 570, which is bigger? a:UTT_BOUNDARY 570, which is"," 570, which is"
"Q: Which number is bigger, 296 or 185? A:","['296', '185']",296,"UTT_BOUNDARY q: which number is bigger, 296 or 185? a:UTT_BOUNDARY 296? a:", 296? a:
"From the numbers 760 and 515, write the bigger number: ","['760', '515']",760,"UTT_BOUNDARY from the numbers 760 and 515, write the bigger number:UTT_BOUNDARY 7604 and 9", 7604 and 9
"From the numbers 595 and 506, write the bigger number: ","['595', '506']",595,"UTT_BOUNDARY from the numbers 595 and 506, write the bigger number:UTT_BOUNDARY 595 and 493", 595 and 493
"Q: Which number is bigger, 26 or 783? A:","['26', '783']",783,"UTT_BOUNDARY q: which number is bigger, 26 or 783? a:UTT_BOUNDARY 783? a:", 783? a:
"Q: Which number is bigger, 749 or 180? A:","['749', '180']",749,"UTT_BOUNDARY q: which number is bigger, 749 or 180? a:UTT_BOUNDARY 749? a:", 749? a:
"Q: Which number is bigger, 992 or 635? A:","['992', '635']",992,"UTT_BOUNDARY q: which number is bigger, 992 or 635? a:UTT_BOUNDARY 992 or 635", 992 or 635
"From the numbers 111 and 884, write the bigger number: ","['111', '884']",884,"UTT_BOUNDARY from the numbers 111 and 884, write the bigger number:UTT_BOUNDARY 884/89", 884/89
"Q: Of the numbers 151 and 990, which is bigger? A:","['151', '990']",990,"UTT_BOUNDARY q: of the numbers 151 and 990, which is bigger? a:UTT_BOUNDARY 990 or 680", 990 or 680
"From the numbers 112 and 843, write the bigger number: ","['112', '843']",843,"UTT_BOUNDARY from the numbers 112 and 843, write the bigger number:UTT_BOUNDARY 843 and 646", 843 and 646
"From the numbers 453 and 10, write the bigger number: ","['453', '10']",453,"UTT_BOUNDARY from the numbers 453 and 10, write the bigger number:UTT_BOUNDARY 453, which is"," 453, which is"
"Q: Of the numbers 752 and 797, which is bigger? A:","['752', '797']",797,"UTT_BOUNDARY q: of the numbers 752 and 797, which is bigger? a:UTT_BOUNDARY 792? a:", 792? a:
"Q: Which number is bigger, 534 or 981? A:","['534', '981']",981,"UTT_BOUNDARY q: which number is bigger, 534 or 981? a:UTT_BOUNDARY 981 or 646", 981 or 646
"Q: Of the numbers 18 and 72, which is bigger? A:","['18', '72']",72,"UTT_BOUNDARY q: of the numbers 18 and 72, which is bigger? a:UTT_BOUNDARY 182, by the"," 182, by the"
"Q: Of the numbers 562 and 675, which is bigger? A:","['562', '675']",675,"UTT_BOUNDARY q: of the numbers 562 and 675, which is bigger? a:UTT_BOUNDARY 675 and 775", 675 and 775
"Q: Of the numbers 911 and 145, which is bigger? A:","['911', '145']",911,"UTT_BOUNDARY q: of the numbers 911 and 145, which is bigger? a:UTT_BOUNDARY 924 and 536", 924 and 536
"Q: Which number is bigger, 459 or 931? A:","['459', '931']",931,"UTT_BOUNDARY q: which number is bigger, 459 or 931? a:UTT_BOUNDARY 942 formula one day", 942 formula one day
"From the numbers 147 and 482, write the bigger number: ","['147', '482']",482,"UTT_BOUNDARY from the numbers 147 and 482, write the bigger number:UTT_BOUNDARY 482 is 982", 482 is 982
