Input,Expected,Predicted
"Q: In the sentence ""John arranged for himself to get the prize"", which word immediately precedes the word ""the""? A:",get, arranged for himself to get
"Q: In the sentence ""Sally believes that she is brilliant"", which word immediately precedes the word ""that""? A:",believes, susan believes that she is
"Q: In the sentence ""Sue knows the answer"", which word immediately precedes the word ""the""? A:",knows," knows the answer ""s"
"Q: In the sentence ""John is eager to find a new home"", which word comes right before the word ""is""? A:",John, eager to find a new
"Q: Which word comes right before ""pleased"" in the sentence ""The news pleased the students""? A:",news," news pleased the students""?"
"Q: In the sentence ""Over the fort fluttered a large flag"", which word immediately precedes the word ""a""? A:",fluttered, flag fluttered a large
"Q: In the sentence ""I saw John on Sunday"", which word immediately precedes the word ""John""? A:",saw, saw john on sunday?
"Q: Which word comes right before ""of"" in the sentence ""A serious accident happened in front of them""? A:",front, accident?
"Q: In the sentence ""Brown equipped Jones with a camera"", which word comes right before the word ""with""? A:",Jones, jones with a camera with
"Q: Which word comes right before ""to"" in the sentence ""John fed rice to the baby""? A:",rice, baby fed rice to the
"Q: Which word comes right before ""people"" in the sentence ""It annoys people that dogs bark""? A:",annoys, dogs barks at people
"Q: In the sentence ""The old and new carts banged together"", which word comes right before the word ""carts""? A:",new," banged together together""?"
"Q: In the sentence ""People from Tucson think very highly of themselves"", which word comes right before the word ""of""? A:",highly, tucson think highly
"Q: In the sentence ""He continued writing poems"", which word immediately precedes the word ""poems""? A:",writing, poems are poems which one
"Q: Which word comes right before ""was"" in the sentence ""Calvin was eating""? A:",Calvin," calvin was eating""?"
"Q: In the sentence ""John knows whether she will come back"", which word comes right before the word ""back""? A:",come, john knows whether she will
"Q: In the sentence ""The bandits murdered innocent victims"", which word immediately precedes the word ""innocent""? A:",murdered, bandits murdered innocent victims
"Q: In the sentence ""Bill sent Tom a package"", which word comes right before the word ""Tom""? A:",sent," sent tom a package""?"
"Q: Which word comes right before ""lawyer"" in the sentence ""Almost every lawyer could answer that question""? A:",every, question could answer that question
"Q: Which word comes right before ""to"" in the sentence ""John promised Bill to leave""? A:",Bill," promised him to leave""?"
