Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",47.16498565673828,"Yes, lovely creature, am n't she?",120.49070739746094,1
There is no easy answer to the painful issue of abortion.,16.322572708129883,There am no easy answer to the painful issue of abortion.,51.796634674072266,1
"Right up to a week after my birth he continued to say, 'How is he?'",24.25766372680664,"Right up to a week after my birth he continued to say, 'How am he?'",45.18912887573242,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,36.3519172668457,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,70.98426818847656,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,23.43214988708496,Among them am the former cloister from the abbey church of St. Peter and Paul.,42.391746520996094,1
how much is a flight from washington to montreal,27.928604125976562,how much 'm a flight from washington to montreal,225.22178649902344,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,23.43214988708496,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,70.90115356445312,1
"Right up to a week after my birth he continued to say, 'How is he?'",24.25766372680664,"Right up to a week after my birth he continued to say, 'How 'm he?'",46.0946159362793,1
There is no easy answer to the painful issue of abortion.,16.322572708129883,There 'm no easy answer to the painful issue of abortion.,97.39185333251953,1
how much is a flight from washington to boston,23.041275024414062,how much 'm a flight from washington to boston,182.9447479248047,1
But here is a mushroom that's past its prime.,44.032470703125,But here am a mushroom that's past its prime.,120.26517486572266,1
"Yes, lovely creature, is n't she?",47.16498565673828,"Yes, lovely creature, 'm n't she?",103.66699981689453,1
how much is a flight from washington to montreal,27.928604125976562,how much am a flight from washington to montreal,68.30188751220703,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",31.026973724365234,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",64.5117416381836,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",23.6586971282959,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",34.68437194824219,1
how much is a flight from washington to boston,23.041275024414062,how much am a flight from washington to boston,53.61167907714844,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",129.36354064941406,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",147.27926635742188,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",31.026973724365234,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",70.7326889038086,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,27.006935119628906,In the corner 'm a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,69.58094787597656,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",23.6586971282959,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so 'm their country – the sea.",43.2202033996582,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,36.3519172668457,This is whale meat that I photographed in a grocery store in Tokyo - or 'm it?,134.38055419921875,1
But here is a mushroom that's past its prime.,44.032470703125,But here 'm a mushroom that's past its prime.,115.35077667236328,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,27.006935119628906,In the corner am a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,44.1554069519043,1
"You say I cook chicken, is n't it?",88.08442687988281,"You say I cook chicken, 'm n't it?",141.5186004638672,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",129.36354064941406,"Tindi Kente is a wonderful dancer, wonderful, am n't she... just like a snake brought out by music, and sometimes he 'll try with her.",167.35299682617188,1
"The answer is obvious, is n't it?",26.833599090576172,"The answer is obvious, 'm n't it?",95.66426849365234,1
"You say I cook chicken, is n't it?",88.08442687988281,"You say I cook chicken, am n't it?",141.28787231445312,1
"The answer is obvious, is n't it?",26.833599090576172,"The answer is obvious, am n't it?",71.94063568115234,1
What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,10.947282791137695,What does the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,11.794271469116211,1
What do other Holga owners do when they need to change film when they are traveling?,36.74895477294922,What does other Holga owners do when they need to change film when they are traveling?,47.396480560302734,1
"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",54.150962829589844,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them, and also how is American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",58.25171661376953,1
"When those lucky enough not to have Herpes create a climate of shame and indignity for those of us who do, not only are they hurting us, but they are hurting themselves.",15.902387619018555,"When those lucky enough not to have Herpes create a climate of shame and indignity for those of us who do, not only is they hurting us, but they are hurting themselves.",19.639041900634766,1
Is there any other way to communicate or do your friends only understand text.,45.6355094909668,Is there any other way to communicate or does your friends only understand text.,43.1507453918457,0
What do french men find sexy?,96.66799926757812,What does french men find sexy?,167.536865234375,1
Also how much do compact system cameras drop on boxing day?,340.75634765625,Also how much does compact system cameras drop on boxing day?,474.3732604980469,1
How do these places stay in business.,45.22140884399414,How does these places stay in business.,109.50859069824219,1
How are things going with you?,13.690381050109863,How is things going with you?,33.02802276611328,1
"It looks good on paper, but what do they really have?",14.451415061950684,"It looks good on paper, but what does they really have?",30.365415573120117,1
"People like this will never have my sympathy, nor do they deserve my sympathy.",22.69757843017578,"People like this will never have my sympathy, nor does they deserve my sympathy.",37.36491012573242,1
But do they know what they have heard?,30.11448860168457,But does they know what they have heard?,65.13016510009766,1
"Struggling against the currents of human nature and society, they may lose more often than they win - but only rarely do they give up.",16.66585350036621,"Struggling against the currents of human nature and society, they may lose more often than they win - but only rarely does they give up.",23.14351463317871,1
What do they want to hear how you had to go round to the back door of the missionary 's house?,47.835086822509766,What does they want to hear how you had to go round to the back door of the missionary 's house?,63.63446807861328,1
"The below site from the US government verifies this-it 's the same for Canada ,too.....",163.70068359375,"The below site from the US government verify this-it 's the same for Canada ,too.....",226.4458465576172,1
"Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.",17.141429901123047,"Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interpret or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.",20.3169002532959,1
"In the best case, the clamoring for a ""refund"" subsides.",45.149574279785156,"In the best case, the clamoring for a ""refund"" subside.",51.830326080322266,1
Can you accept that the road we are travelling points toward a grim and painful future?,44.478004455566406,Can you accept that the road we are travelling point toward a grim and painful future?,54.23581314086914,1
Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.,59.81851577758789,Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.,65.89501190185547,1
"""Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthens the realist representation.",83.71744537353516,"""Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthen the realist representation.",96.6885986328125,1
"Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors.",20.197214126586914,"Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes trouble modern critics and directors.",21.53785514831543,1
The feeling of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.,39.181785583496094,The feeling of being swept along and of uncertainty as regards the future prevent you from seeing things in any perspective whatsoever.,42.143733978271484,1
"750,000 - Tons of toxic waste the US military, the world 's biggest polluter, generates around the world each year.",17.828369140625,"750,000 - Tons of toxic waste the US military, the world 's biggest polluter, generate around the world each year.",19.692846298217773,1
"Your love life is full, and any dissatisfaction with career and money matters fades into the background.",43.33584213256836,"Your love life is full, and any dissatisfaction with career and money matters fade into the background.",53.659236907958984,1
Examination of three views of the right foot demonstrates the second through fifth metatarsal head fractures.,33.55600357055664,Examination of three views of the right foot demonstrate the second through fifth metatarsal head fractures.,36.72374725341797,1
"In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remains limited.",55.78400802612305,"In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remain limited.",60.89083480834961,1
"Yet a superficial fixation on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.",24.57598304748535,"Yet a superficial fixation on China's headline GDP growth persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.",26.581449508666992,1
"Then every element of S strictly precedes x, as x is in T.",52.400962829589844,"Then every element of S strictly precede x, as x is in T.",87.52599334716797,1
"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approaches.",28.2849063873291,"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approach.",36.34806823730469,1
"Your learning of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.",97.52559661865234,"Your learning of concepts of all kinds combine with extensive group activity, bringing your mind into a whole new space this year.",111.61022186279297,1
The default view – the view in which the object is open when you carry out the Save As command – determines the design of the data access page.,33.292930603027344,The default view – the view in which the object is open when you carry out the Save As command – determine the design of the data access page.,41.741947174072266,1
"If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signals a beginning of hibernation.",42.84720993041992,"If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signal a beginning of hibernation.",50.642269134521484,1
"Also, every element of S strictly precedes x, as x is in T.",35.13101577758789,"Also, every element of S strictly precede x, as x is in T.",57.07231903076172,1
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",11.188484191894531,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoist him by his own petard.",11.928142547607422,1
Our project of a Europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator.,56.23345947265625,Our project of a Europe that aims to satisfy social needs envisage the convergence of living conditions towards the highest common denominator.,69.2125473022461,1
"China 's strong hand in this even extends to the diplomatic realm; China is a permanent member of the United Nations Security Council, and could veto any actions against Iran proposed by the United States.",13.638402938842773,"China 's strong hand in this even extend to the diplomatic realm; China is a permanent member of the United Nations Security Council, and could veto any actions against Iran proposed by the United States.",15.856762886047363,1
"Let me join the chorus of annoyance over Google 's new toolbar , which, as noted in the linked article, commits just about every sin an online marketer could commit, and makes up a few new ones besides.",25.448673248291016,"Let me join the chorus of annoyance over Google 's new toolbar , which, as noted in the linked article, commit just about every sin an online marketer could commit, and makes up a few new ones besides.",30.916820526123047,1
"In the next week or so, we 'll be sending around a discussion paper which we hope crystallizes the issues, and we will try to talk to as many of you as possible before the meeting to go through it.",14.246259689331055,"In the next week or so, we 'll be sending around a discussion paper which we hope crystallize the issues, and we will try to talk to as many of you as possible before the meeting to go through it.",15.509773254394531,1
"Indeed, its three-year plan for economic innovation, announced in February, aims to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.",9.681766510009766,"Indeed, its three-year plan for economic innovation, announced in February, aim to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.",11.212189674377441,1
"Al Qaeda members and sympathizers feel that the FBI 's involvement in countries like Egypt, Saudi Arabia, Pakistan, Indonesia, and the Philippines interferes with the sovereignty of those countries.",14.49793815612793,"Al Qaeda members and sympathizers feel that the FBI 's involvement in countries like Egypt, Saudi Arabia, Pakistan, Indonesia, and the Philippines interfere with the sovereignty of those countries.",15.246572494506836,1
I have to say the value of this place always amazes me.,22.235620498657227,I have to say the value of this place always amaze me.,42.256534576416016,1
"The mycelium, in the right conditions, produces a mushroom - it bursts through with such ferocity that it can break asphalt.",38.01530456542969,"The mycelium, in the right conditions, produce a mushroom - it bursts through with such ferocity that it can break asphalt.",45.305477142333984,1
The title page of the 1594 edition of Titus Andronicus reveals that the play had been acted by three different troupes.,8.314374923706055,The title page of the 1594 edition of Titus Andronicus reveal that the play had been acted by three different troupes.,9.607015609741211,1
