Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",1095.763916015625,"Yes, lovely creature, am n't she?",6013.2021484375,1
There is no easy answer to the painful issue of abortion.,360.6053161621094,There am no easy answer to the painful issue of abortion.,2754.285400390625,1
"Right up to a week after my birth he continued to say, 'How is he?'",2107.475341796875,"Right up to a week after my birth he continued to say, 'How am he?'",3817.11279296875,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,619.7421875,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,965.227783203125,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,178.9917449951172,Among them am the former cloister from the abbey church of St. Peter and Paul.,369.3335876464844,1
how much is a flight from washington to montreal,1084.4825439453125,how much 'm a flight from washington to montreal,5324.33349609375,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,178.9917449951172,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,1182.5089111328125,1
"Right up to a week after my birth he continued to say, 'How is he?'",2107.475341796875,"Right up to a week after my birth he continued to say, 'How 'm he?'",4560.8330078125,1
There is no easy answer to the painful issue of abortion.,360.6053161621094,There 'm no easy answer to the painful issue of abortion.,3426.0361328125,1
how much is a flight from washington to boston,1038.9083251953125,how much 'm a flight from washington to boston,5587.51611328125,1
But here is a mushroom that's past its prime.,2087.41845703125,But here am a mushroom that's past its prime.,5099.71826171875,1
"Yes, lovely creature, is n't she?",1095.763916015625,"Yes, lovely creature, 'm n't she?",38321.49609375,1
how much is a flight from washington to montreal,1084.4825439453125,how much am a flight from washington to montreal,2155.74755859375,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",286.8097839355469,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",582.79833984375,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",187.7370147705078,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",315.049560546875,1
how much is a flight from washington to boston,1038.9083251953125,how much am a flight from washington to boston,1830.3968505859375,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1506.0262451171875,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",2377.552978515625,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",286.8097839355469,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",1037.5968017578125,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,956.0289916992188,In the corner 'm a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,3547.007568359375,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",187.7370147705078,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so 'm their country – the sea.",433.45452880859375,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,619.7421875,This is whale meat that I photographed in a grocery store in Tokyo - or 'm it?,4014.478515625,1
But here is a mushroom that's past its prime.,2087.41845703125,But here 'm a mushroom that's past its prime.,20343.71875,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,956.0289916992188,In the corner am a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,1292.7264404296875,1
