Input,Options,Expected,Output (raw),Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the first word? A:","['John', 'was', 'lots', 'more', 'obnoxious', 'than', 'Fred']",john,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" j o h n W w a s W l o t s W m o r e W o b n o x i o u s W t h a n W f r e d "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY j o h n f o r d i a n e W a s s l o o k i e s t i",johnfordiane asslookiesti
"Q: In the sentence ""A boy hit the ball"", what is the first word? A:","['A', 'boy', 'hit', 'the', 'ball']",a,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" a W b o y W h i t W t h e W b a l l "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY a n d y W d o e s n ' t W l i k e W m e W a t W a",andy doesn't like me at a
"Q: In the sentence ""I remembered having kissed Mary"", what is the first word? A:","['I', 'remembered', 'having', 'kissed', 'Mary']",i,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" i W r e m e m b e r e d W h a v i n g W k i s s e d W m a r y "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY i t W i s W a W s e r i o u s W r e a d i n g l s",it is a serious readingls
"Q: What is the first word of the sentence ""I believe strongly that the world is round""? A:","['I', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",i,"UTT_BOUNDARY q : W w h a t W i s W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" i W b e l i e v e W s t r o n g l y W t h a t W t h e W w o r l d W i s W r o u n d "" ? W a : UTT_BOUNDARY i t W i s e t h o o t k e y o n g a l i p u t t a",it isethootkeyongaliputta
"Write the first word of the sentence ""John will see you"": ","['John', 'will', 'see', 'you']",john,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" j o h n W w i l l W s e e W y o u "" : UTT_BOUNDARY j o h n W i s W n o t W t h e W f i r s t W t w r",john is not the first twr
"Q: In the sentence ""They gave the bicycle to me"", what is the first word? A:","['They', 'gave', 'the', 'bicycle', 'to', 'me']",they,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e y W g a v e W t h e W b i c y c l e W t o W m e "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY t h e y W a r e W a b o u t W t o n i g h t W a n",they are about tonight an
"Q: In the sentence ""An owl hunts mice"", what is the first word? A:","['An', 'owl', 'hunts', 'mice']",an,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" a n W o w l W h u n t s W m i c e "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY a n d y W s e e m s W t o W b e W h o n e s t "" ?","andy seems to be honest""?"
"Write the first word of the sentence ""Helen wiped the wall"": ","['Helen', 'wiped', 'the', 'wall']",helen,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" h e l e n W w i p e d W t h e W w a l l "" : UTT_BOUNDARY h e l e n a W w a s W w a t c h i n g W h e r W b",helena was watching her b
"Q: What is the first word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['Elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'Wickham']",elizabeth,"UTT_BOUNDARY q : W w h a t W i s W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" e l i z a b e t h W r e g r e t t e d W t h a t W s h e W h a d W m e t W w i c k h a m "" ? W a : UTT_BOUNDARY e l l e n n e t h e n n h a "" ? W a n d e r e f o","ellennethennha""? anderefo"
"Write the first word of the sentence ""I told the story to Daniel"": ","['I', 'told', 'the', 'story', 'to', 'Daniel']",i,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" i W t o l d W t h e W s t o r y W t o W d a n i e l "" : UTT_BOUNDARY i t W w a s W a n W a c c i d e n t W i n W t h e",it was an accident in the
"Write the first word of the sentence ""Sonatas are easy to play on this violin"": ","['Sonatas', 'are', 'easy', 'to', 'play', 'on', 'this', 'violin']",sonatas,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" s o n a t a s W a r e W e a s y W t o W p l a y W o n W t h i s W v i o l i n "" : UTT_BOUNDARY s o m e t h i n g W a b o u t W h i m s e s a r c",something about himsesarc
"Q: What is the first word of the sentence ""Paula hit the fence""? A:","['Paula', 'hit', 'the', 'fence']",paula,"UTT_BOUNDARY q : W w h a t W i s W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" p a u l a W h i t W t h e W f e n c e "" ? W a : UTT_BOUNDARY p a u l a W p u l l e d W t h e W w a l l i n g s",paula pulled the wallings
"Q: What is the first word of the sentence ""The man killed the king with the knife""? A:","['The', 'man', 'killed', 'the', 'king', 'with', 'the', 'knife']",the,"UTT_BOUNDARY q : W w h a t W i s W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" t h e W m a n W k i l l e d W t h e W k i n g W w i t h W t h e W k n i f e "" ? W a : UTT_BOUNDARY t h e y W a r e W n o t W t h a t "" ? W a : UTT_BOUNDARY","they are not that""? a:"
"Q: In the sentence ""The student knew the answers"", what is the first word? A:","['The', 'student', 'knew', 'the', 'answers']",the,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e W s t u d e n t W k n e w W t h e W a n s w e r s "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY t h e W s e n t e n c e W o f f e s t a n g s t i",the sentence offestangsti
