Input,Expected,Predicted
"Q: Of the numbers 701 and 438, which is bigger? A:",701, 701 and 438
"Q: Of the numbers 486 and 491, which is bigger? A:",491, 486 and 491
"Q: Of the numbers 632 and 260, which is bigger? A:",632, 632 and 260
"Q: Which number is bigger, 787 or 50? A:",787, 787 or 50?
"From the numbers 966 and 407, write the bigger number: ",966, 966 and 407
"Q: Of the numbers 808 and 839, which is bigger? A:",839, 839 and 839
"Q: Of the numbers 496 and 558, which is bigger? A:",558, 558 and 558
"From the numbers 683 and 954, write the bigger number: ",954, 954 and 954
"Q: Which number is bigger, 743 or 323? A:",743, 743 or 323
"From the numbers 719 and 480, write the bigger number: ",719, 719 and 480
"From the numbers 751 and 410, write the bigger number: ",751, 751 and 410
"Q: Which number is bigger, 555 or 660? A:",660, 660 or 660
"Q: Which number is bigger, 167 or 325? A:",325," 325 is bigger,"
"Q: Of the numbers 717 and 614, which is bigger? A:",717, 717 and 614
"From the numbers 92 and 617, write the bigger number: ",617, 617:
"Q: Which number is bigger, 327 or 151? A:",327, 327 or 151
"Q: Of the numbers 116 and 570, which is bigger? A:",570, 570 and 570
"Q: Which number is bigger, 296 or 185? A:",296, 296 or 185?
"From the numbers 760 and 515, write the bigger number: ",760, 760 and 515
"From the numbers 595 and 506, write the bigger number: ",595, 595 and 506
"Q: Which number is bigger, 26 or 783? A:",783, 783:
"Q: Which number is bigger, 749 or 180? A:",749, 749 or 180?
"Q: Which number is bigger, 992 or 635? A:",992, 992 or 635
"From the numbers 111 and 884, write the bigger number: ",884, 884 and 884
"Q: Of the numbers 151 and 990, which is bigger? A:",990, 990 and 990
"From the numbers 112 and 843, write the bigger number: ",843, 843 and 843
"From the numbers 453 and 10, write the bigger number: ",453," 453 and 10,"
"Q: Of the numbers 752 and 797, which is bigger? A:",797, 797 and 797
"Q: Which number is bigger, 534 or 981? A:",981," 981 is bigger,"
"Q: Of the numbers 18 and 72, which is bigger? A:",72, 72 is bigger? a
"Q: Of the numbers 562 and 675, which is bigger? A:",675, 675 and 675
"Q: Of the numbers 911 and 145, which is bigger? A:",911, 911 and 145
"Q: Which number is bigger, 459 or 931? A:",931," 931 is bigger,"
"From the numbers 147 and 482, write the bigger number: ",482, 482 and 482
"Q: Which number is bigger, 404 or 130? A:",404, 404 or 130
"Q: Which number is bigger, 397 or 741? A:",741, 741 is bigger than
"From the numbers 672 and 250, write the bigger number: ",672, 672 and 250
"Q: Which number is bigger, 116 or 920? A:",920, 920 or 920
"Q: Which number is bigger, 298 or 152? A:",298, 298 or 152
"Q: Of the numbers 298 and 152, which is bigger? A:",298, 298 and 152
"Q: Which number is bigger, 57 or 163? A:",163, 163:
"Q: Which number is bigger, 174 or 414? A:",414, 414:
"Q: Which number is bigger, 448 or 653? A:",653, 653:
"Q: Which number is bigger, 749 or 535? A:",749, 749 or 535
"Q: Of the numbers 377 and 21, which is bigger? A:",377, 377 and 21 is
"Q: Of the numbers 962 and 416, which is bigger? A:",962, 962 and 416
"From the numbers 757 and 190, write the bigger number: ",757," 757 and 190,"
"Q: Which number is bigger, 229 or 708? A:",708, 708 or 708
"From the numbers 467 and 552, write the bigger number: ",552, 467 and 552
"Q: Of the numbers 786 and 179, which is bigger? A:",786, 786 and 179 is
"Q: Of the numbers 149 and 37, which is bigger? A:",149, 379 and 379
"From the numbers 928 and 160, write the bigger number: ",928, 928 and 160
"Q: Which number is bigger, 794 or 976? A:",976, 976? a:
"From the numbers 651 and 782, write the bigger number: ",782, 782 and 782
"Q: Which number is bigger, 894 or 439? A:",894, 894 or 439
"From the numbers 127 and 535, write the bigger number: ",535, 535 and 535
"Q: Of the numbers 700 and 450, which is bigger? A:",700, 700 and 450
"Q: Which number is bigger, 695 or 253? A:",695, 695 or 253
"From the numbers 573 and 381, write the bigger number: ",573, 573 and 381
"Q: Of the numbers 487 and 110, which is bigger? A:",487, 487 and 110
"Q: Which number is bigger, 571 or 31? A:",571, 571 or 571
"Q: Which number is bigger, 764 or 430? A:",764, 764 or 430
"Q: Which number is bigger, 53 or 115? A:",115, 115:
"Q: Which number is bigger, 278 or 334? A:",334, 278 or 334
"Q: Which number is bigger, 199 or 636? A:",636, 636 or 636
"Q: Of the numbers 393 and 309, which is bigger? A:",393, 393 and 309
"Q: Of the numbers 914 and 555, which is bigger? A:",914, 914 and 555
"Q: Of the numbers 747 and 602, which is bigger? A:",747, 747 and 602
"Q: Of the numbers 148 and 681, which is bigger? A:",681, 681 is bigger?
"Q: Which number is bigger, 864 or 400? A:",864, 864 or 400?
"Q: Of the numbers 595 and 235, which is bigger? A:",595, 595 and 235
"From the numbers 592 and 653, write the bigger number: ",653, 653 and 653
"From the numbers 137 and 538, write the bigger number: ",538, 538 and 538
"Q: Of the numbers 808 and 846, which is bigger? A:",846, 846 and 846
"Q: Which number is bigger, 307 or 594? A:",594, 594 or 594
"Q: Which number is bigger, 592 or 901? A:",901, 592 or 901
"From the numbers 610 and 890, write the bigger number: ",890, 890 and 890
"From the numbers 528 and 409, write the bigger number: ",528, 528 and 409
"From the numbers 829 and 369, write the bigger number: ",829, 829 and 369
"From the numbers 131 and 522, write the bigger number: ",522, 522 and 522
"Q: Of the numbers 53 and 115, which is bigger? A:",115, 53 and 115 are
"Q: Of the numbers 24 and 132, which is bigger? A:",132, 132 and 132
"Q: Which number is bigger, 508 or 391? A:",508, 408 or 408
"Q: Of the numbers 65 and 715, which is bigger? A:",715, 715 is bigger?
"From the numbers 487 and 110, write the bigger number: ",487, 487 and 110
"Q: Which number is bigger, 672 or 250? A:",672, 672 or 250
"From the numbers 879 and 793, write the bigger number: ",879, 879 and 793
"Q: Of the numbers 114 and 775, which is bigger? A:",775, 775 and 775
"From the numbers 363 and 269, write the bigger number: ",363, 363:
"From the numbers 390 and 587, write the bigger number: ",587, 587 and 587
"Q: Which number is bigger, 138 or 300? A:",300, 300 or 300? a
"Q: Of the numbers 846 and 436, which is bigger? A:",846, 846 and 436
