Input,Options,Expected,Output (raw),Predicted
"F: Von den Zahlen 117 und 552, welche ist größer? A:","['117', '552']",552,"UTT_BOUNDARY f: von den zahlen 117 und 552, welche ist größer? a:UTT_BOUNDARY 55265", 55265
"F: Von den Zahlen 707 und 918, welche ist größer? A:","['707', '918']",918,"UTT_BOUNDARY f: von den zahlen 707 und 918, welche ist größer? a:UTT_BOUNDARY 920 oder 96", 920 oder 96
"F: Von den Zahlen 181 und 41, welche ist größer? A:","['181', '41']",181,"UTT_BOUNDARY f: von den zahlen 181 und 41, welche ist größer? a:UTT_BOUNDARY 491 und 6", 491 und 6
"F: Welche Zahl ist größer, 540 oder 444? A:","['540', '444']",540,"UTT_BOUNDARY f: welche zahl ist größer, 540 oder 444? a:UTT_BOUNDARY 590628", 590628
Gib von den Zahlen 549 und 234 die größere an: ,"['549', '234']",549,UTT_BOUNDARY gib von den zahlen 549 und 234 die größere an:UTT_BOUNDARY 5979 die, 5979 die
"F: Von den Zahlen 157 und 504, welche ist größer? A:","['157', '504']",504,"UTT_BOUNDARY f: von den zahlen 157 und 504, welche ist größer? a:UTT_BOUNDARY 506? a:", 506? a:
"F: Von den Zahlen 616 und 193, welche ist größer? A:","['616', '193']",616,"UTT_BOUNDARY f: von den zahlen 616 und 193, welche ist größer? a:UTT_BOUNDARY 620 und 98", 620 und 98
Gib von den Zahlen 264 und 107 die größere an: ,"['264', '107']",264,"UTT_BOUNDARY gib von den zahlen 264 und 107 die größere an:UTT_BOUNDARY 3887, welche"," 3887, welche"
"F: Welche Zahl ist größer, 270 oder 846? A:","['270', '846']",846,"UTT_BOUNDARY f: welche zahl ist größer, 270 oder 846? a:UTT_BOUNDARY 8888 oder", 8888 oder
Gib von den Zahlen 199 und 523 die größere an: ,"['199', '523']",523,UTT_BOUNDARY gib von den zahlen 199 und 523 die größere an:UTT_BOUNDARY 544 und 5, 544 und 5
Gib von den Zahlen 176 und 270 die größere an: ,"['176', '270']",270,UTT_BOUNDARY gib von den zahlen 176 und 270 die größere an:UTT_BOUNDARY 380 und 83, 380 und 83
"F: Welche Zahl ist größer, 726 oder 838? A:","['726', '838']",838,"UTT_BOUNDARY f: welche zahl ist größer, 726 oder 838? a:UTT_BOUNDARY 82626", 82626
"F: Welche Zahl ist größer, 876 oder 134? A:","['876', '134']",876,"UTT_BOUNDARY f: welche zahl ist größer, 876 oder 134? a:UTT_BOUNDARY 8766 oder", 8766 oder
"F: Von den Zahlen 691 und 565, welche ist größer? A:","['691', '565']",691,"UTT_BOUNDARY f: von den zahlen 691 und 565, welche ist größer? a:UTT_BOUNDARY 691 und 6", 691 und 6
