Input,Options,Expected,Output (raw),Predicted
"F: Mit welchem Buchstaben beginnt das Wort ""Parkscheibe""? A:","['P', 'a', 'r', 'k', 's', 'c', 'h', 'e', 'i', 'b', 'e']",p,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""parkscheibe""? a:UTT_BOUNDARY pastor burt", pastor burt
"F: Mit welchem Buchstaben beginnt das Wort ""elastisch""? A:","['e', 'l', 'a', 's', 't', 'i', 's', 'c', 'h']",e,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""elastisch""? a:UTT_BOUNDARY sausn saus", sausn saus
"F: Mit welchem Buchstaben beginnt das Wort ""Zug""? A:","['Z', 'u', 'g']",z,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""zug""? a:UTT_BOUNDARY senden? a:", senden? a:
"F: Was ist der erste Buchstabe des Wortes ""Schaf""? A:","['S', 'c', 'h', 'a', 'f']",s,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""schaf""? a:UTT_BOUNDARY sätzen: gentri", sätzen: gentri
"Schreibe den ersten Buchstaben des Wortes ""Bäckerei"": ","['B', 'ä', 'c', 'k', 'e', 'r', 'e', 'i']",b,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""bäckerei"":UTT_BOUNDARY butzigbol", butzigbol
"F: Mit welchem Buchstaben beginnt das Wort ""Flasche""? A:","['F', 'l', 'a', 's', 'c', 'h', 'e']",f,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""flasche""? a:UTT_BOUNDARY senden? a:", senden? a:
"F: Mit welchem Buchstaben beginnt das Wort ""Goldfisch""? A:","['G', 'o', 'l', 'd', 'f', 'i', 's', 'c', 'h']",g,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""goldfisch""? a:UTT_BOUNDARY baus. bicke", baus. bicke
"Schreibe den ersten Buchstaben des Wortes ""ausgraben"": ","['a', 'u', 's', 'g', 'r', 'a', 'b', 'e', 'n']",a,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""ausgraben"":UTT_BOUNDARY a:UTT_BOUNDARY", a:
"F: Was ist der erste Buchstabe des Wortes ""Kunst""? A:","['K', 'u', 'n', 's', 't']",k,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""kunst""? a:UTT_BOUNDARY f: was ist der", f: was ist der
"Schreibe den ersten Buchstaben des Wortes ""menschlich"": ","['m', 'e', 'n', 's', 'c', 'h', 'l', 'i', 'c', 'h']",m,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""menschlich"":UTT_BOUNDARY f: was ist der", f: was ist der
"Schreibe den ersten Buchstaben des Wortes ""Punktestand"": ","['P', 'u', 'n', 'k', 't', 'e', 's', 't', 'a', 'n', 'd']",p,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""punktestand"":UTT_BOUNDARY a:UTT_BOUNDARY", a:
"F: Was ist der erste Buchstabe des Wortes ""Haus""? A:","['H', 'a', 'u', 's']",h,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""haus""? a:UTT_BOUNDARY kordel katz", kordel katz
"F: Was ist der erste Buchstabe des Wortes ""rennen""? A:","['r', 'e', 'n', 'n', 'e', 'n']",r,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""rennen""? a:UTT_BOUNDARY senden? a:", senden? a:
"F: Mit welchem Buchstaben beginnt das Wort ""lesen""? A:","['l', 'e', 's', 'e', 'n']",l,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""lesen""? a:UTT_BOUNDARY sätzenwald. b", sätzenwald. b
"Schreibe den ersten Buchstaben des Wortes ""Hof"": ","['H', 'o', 'f']",h,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""hof"":UTT_BOUNDARY butzigbol", butzigbol
"F: Was ist der erste Buchstabe des Wortes ""berühren""? A:","['b', 'e', 'r', 'ü', 'h', 'r', 'e', 'n']",b,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""berühren""? a:UTT_BOUNDARY buchenwald. b", buchenwald. b
"F: Mit welchem Buchstaben beginnt das Wort ""Entwicklungshilfe""? A:","['E', 'n', 't', 'w', 'i', 'c', 'k', 'l', 'u', 'n', 'g', 's', 'h', 'i', 'l', 'f', 'e']",e,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""entwicklungshilfe""? a:UTT_BOUNDARY e. v. a", e. v. a
"F: Was ist der erste Buchstabe des Wortes ""Nudelholz""? A:","['N', 'u', 'd', 'e', 'l', 'h', 'o', 'l', 'z']",n,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""nudelholz""? a:UTT_BOUNDARY hütten. bicke", hütten. bicke
"Schreibe den ersten Buchstaben des Wortes ""Essen"": ","['E', 's', 's', 'e', 'n']",e,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""essen"":UTT_BOUNDARY sätzend fromm", sätzend fromm
"Schreibe den ersten Buchstaben des Wortes ""bezaubernd"": ","['b', 'e', 'z', 'a', 'u', 'b', 'e', 'r', 'n', 'd']",b,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""bezaubernd"":UTT_BOUNDARY butzigbol", butzigbol
"F: Was ist der erste Buchstabe des Wortes ""Hand""? A:","['H', 'a', 'n', 'd']",h,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""hand""? a:UTT_BOUNDARY tastatur: a", tastatur: a
"F: Was ist der erste Buchstabe des Wortes ""treffen""? A:","['t', 'r', 'e', 'f', 'f', 'e', 'n']",t,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""treffen""? a:UTT_BOUNDARY sätzen:UTT_BOUNDARY", sätzen:
"F: Was ist der erste Buchstabe des Wortes ""warm""? A:","['w', 'a', 'r', 'm']",w,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""warm""? a:UTT_BOUNDARY mogadischu", mogadischu
"Schreibe den ersten Buchstaben des Wortes ""Löffel"": ","['L', 'ö', 'f', 'f', 'e', 'l']",l,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""löffel"":UTT_BOUNDARY getz. bicke", getz. bicke
"F: Mit welchem Buchstaben beginnt das Wort ""Feuerwehrmann""? A:","['F', 'e', 'u', 'e', 'r', 'w', 'e', 'h', 'r', 'm', 'a', 'n', 'n']",f,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""feuerwehrmann""? a:UTT_BOUNDARY f: was ist der", f: was ist der
"Schreibe den ersten Buchstaben des Wortes ""Trick"": ","['T', 'r', 'i', 'c', 'k']",t,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""trick"":UTT_BOUNDARY hurtigdad", hurtigdad
"Schreibe den ersten Buchstaben des Wortes ""Abnahme"": ","['A', 'b', 'n', 'a', 'h', 'm', 'e']",a,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""abnahme"":UTT_BOUNDARY a:UTT_BOUNDARY", a:
"F: Mit welchem Buchstaben beginnt das Wort ""unverwüstlich""? A:","['u', 'n', 'v', 'e', 'r', 'w', 'ü', 's', 't', 'l', 'i', 'c', 'h']",u,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""unverwüstlich""? a:UTT_BOUNDARY u. a:UTT_BOUNDARY", u. a:
"F: Was ist der erste Buchstabe des Wortes ""schwach""? A:","['s', 'c', 'h', 'w', 'a', 'c', 'h']",s,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""schwach""? a:UTT_BOUNDARY kunsten buchen", kunsten buchen
"F: Mit welchem Buchstaben beginnt das Wort ""glücklich""? A:","['g', 'l', 'ü', 'c', 'k', 'l', 'i', 'c', 'h']",g,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""glücklich""? a:UTT_BOUNDARY gords: a", gords: a
"F: Mit welchem Buchstaben beginnt das Wort ""verabschieden""? A:","['v', 'e', 'r', 'a', 'b', 's', 'c', 'h', 'i', 'e', 'd', 'e', 'n']",v,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""verabschieden""? a:UTT_BOUNDARY via facebook? a", via facebook? a
"F: Mit welchem Buchstaben beginnt das Wort ""unterscheidbar""? A:","['u', 'n', 't', 'e', 'r', 's', 'c', 'h', 'e', 'i', 'd', 'b', 'a', 'r']",u,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""unterscheidbar""? a:UTT_BOUNDARY e. v. a", e. v. a
"F: Was ist der erste Buchstabe des Wortes ""Strom""? A:","['S', 't', 'r', 'o', 'm']",s,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""strom""? a:UTT_BOUNDARY senden? a:", senden? a:
"Schreibe den ersten Buchstaben des Wortes ""zartbitter"": ","['z', 'a', 'r', 't', 'b', 'i', 't', 't', 'e', 'r']",z,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""zartbitter"":UTT_BOUNDARY butzigbol", butzigbol
"F: Was ist der erste Buchstabe des Wortes ""Bord""? A:","['B', 'o', 'r', 'd']",b,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""bord""? a:UTT_BOUNDARY bauspartend", bauspartend
"F: Was ist der erste Buchstabe des Wortes ""Kälte""? A:","['K', 'ä', 'l', 't', 'e']",k,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""kälte""? a:UTT_BOUNDARY kafka: a", kafka: a
